Date,Close
2025-01-02,185.12
2025-01-03,186.05
2025-01-06,185.40
2025-01-07,187.20
2025-01-08,188.10
2025-01-09,187.65
2025-01-10,189.30
2025-01-13,190.05
2025-01-14,189.75
2025-01-15,191.10
2025-01-16,192.00
2025-01-17,191.55
2025-01-20,192.80
2025-01-21,193.25
2025-01-22,194.10
2025-01-23,193.85
2025-01-24,195.20
2025-01-27,196.05
2025-01-28,195.60
2025-01-29,197.10
2025-01-30,198.00
2025-01-31,197.45
2025-02-03,198.90
2025-02-04,199.55
2025-02-05,200.10
2025-02-06,199.40
2025-02-07,200.85
2025-02-10,201.30
2025-02-11,202.15
2025-02-12,201.75
